date,state_abbr,state_full_name,positive,negative,pending,hospitalized,death,total,dateChecked
20200316,MT,Montana,7,198,0,,,205,2020-03-16T20:00:00Z
20200316,NC,North Carolina,33,296,151,,0,480,2020-03-16T20:00:00Z
20200316,ND,North Dakota,1,123,0,,0,124,2020-03-16T20:00:00Z
20200316,NE,Nebraska,18,170,,,,188,2020-03-16T20:00:00Z
20200316,NH,New Hampshire,13,271,95,,,379,2020-03-16T20:00:00Z
20200316,NJ,New Jersey,178,120,20,,2,218,2020-03-16T20:00:00Z
20200316,NM,New Mexico,17,566,,,,583,2020-03-16T20:00:00Z
20200316,NV,Nevada,45,168,,,1,213,2020-03-16T20:00:00Z
20200316,NY,New York,950,4543,,,7,5493,2020-03-16T20:00:00Z
20200316,OH,Ohio,50,140,361,,,551,2020-03-16T20:00:00Z
20200316,OK,Oklahoma,10,174,29,,,213,2020-03-16T20:00:00Z
20200316,OR,Oregon,39,579,182,,,800,2020-03-16T20:00:00Z
20200316,PA,Pennsylvania,76,670,,,,746,2020-03-16T20:00:00Z
20200316,RI,Rhode Island,21,308,149,,,478,2020-03-16T20:00:00Z
20200316,SC,South Carolina,28,235,,,1,263,2020-03-16T20:00:00Z
20200316,SD,South Dakota,10,494,0,,,504,2020-03-16T20:00:00Z
20200316,TN,Tennessee,52,270,,,,322,2020-03-16T20:00:00Z
20200316,TX,Texas,57,,,,,57,2020-03-16T20:00:00Z
20200316,UT,Utah,39,131,,,0,170,2020-03-16T20:00:00Z
20200316,VA,Virginia,51,438,,,1,489,2020-03-16T20:00:00Z
20200316,VT,Vermont,8,421,,,,429,2020-03-16T20:00:00Z
20200316,WA,Washington,769,9451,,,42,10220,2020-03-16T20:00:00Z
20200316,WI,Wisconsin,47,504,,,,551,2020-03-16T20:00:00Z
20200316,WV,West Virginia,0,80,4,,0,84,2020-03-16T20:00:00Z
20200316,WY,Wyoming,3,,,,,3,2020-03-16T20:00:00Z
20200316,PR,Puerto Rico,5,9,,,,14,2020-03-16T20:00:00Z
20200316,VI,Virgin Islands,1,,,,,1,2020-03-16T20:00:00Z
20200316,GU,Guam,3,23,,,,26,2020-03-16T20:00:00Z
20200316,MP,Northern Marianas,0,,,,,0,2020-03-16T20:00:00Z
20200316,AS,American Samoa,0,,,,,0,2020-03-16T20:00:00Z
20200315,AK,Alaska,1,143,,,,144,2020-03-15T20:00:00Z
20200315,AL,Alabama,12,28,46,,0,86,2020-03-15T20:00:00Z
20200315,AR,Arkansas,16,103,30,,,149,2020-03-15T20:00:00Z
20200315,AZ,Arizona,12,121,50,,0,183,2020-03-15T20:00:00Z
20200315,CA,California,293,916,,,5,1209,2020-03-15T20:00:00Z
20200315,CO,Colorado,131,627,,,1,758,2020-03-15T20:00:00Z
20200315,CT,Connecticut,20,125,,,,145,2020-03-15T20:00:00Z
20200315,DC,Dist. of Columbia,16,79,20,,,115,2020-03-15T20:00:00Z
